,point_code,VOCs,CO2,H2,O2,H2S,HCHO,NH3,CH4,Radon,FG_C12O,FG_AlkB,FG_prmA,geometry,Point_ID,FG,All_indicators_Scores,CH4_Score,CO2_Score,H2S_Score,H2_Score,O2_Score,Radon_Score,The_other_soil_gas_scores,VOCs_Score,Contamination_type,Scope_of_contamination,color
0,LX-1,0.38,0.0062,130.0,20.1,0.7,9.63,1.0,0.0,,,,,POINT (1490328.3436969053 5147370.63776787),LX-1,,,0.0,0.0,0.0,1.0,0.0,,2.0,1.0,Scores<6,1,orange
1,LX-10,0.76,0.0019,170.0,20.4,1.7,9.99,0.0,0.0,,,,,POINT (1490595.1840788191 5147443.836271893),LX-10,,,0.0,0.0,1.0,1.0,0.0,,3.0,1.0,Scores<6,1,orange
2,LX-100,3.1,0.0042,70.0,20.4,0.6,9.99,1.0,0.0,,,,,POINT (1490441.7615808004 5147467.363141848),LX-100,,,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,Scores<6,1,orange
3,LX-101,2.93,0.0038,10.0,20.5,0.0,5.86,0.0,0.0,,1003790.187434703,6388675623.013029,6891.79248631814,POINT (1490447.8127464438 5147456.391155708),LX-101,,,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,Scores<6,1,orange
4,LX-102,0.55,0.0038,50.0,20.4,0.0,8.57,0.0,0.0,,,,,POINT (1490458.0094470754 5147427.741469501),LX-102,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
5,LX-103,0.52,0.0029,80.0,20.1,0.8,9.99,0.0,0.0,,,,,POINT (1490421.4463520413 5147413.33113997),LX-103,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
6,LX-104,0.25,0.002,40.0,20.5,0.6,7.72,0.0,0.0,,,,,POINT (1490408.5612775418 5147445.387083549),LX-104,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
8,LX-106,0.38,0.0011,10.0,20.7,0.0,3.53,0.0,0.0,,,,,POINT (1490400.9565884075 5147479.145396399),LX-106,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
9,LX-107,0.4,0.0243,50.0,18.6,0.6,9.99,0.0,0.0,,,,,POINT (1490405.0887285424 5147458.907313473),LX-107,,,0.0,2.0,0.0,0.0,0.0,,3.0,1.0,Scores<6,1,orange
10,LX-108,0.23,0.0029,60.0,20.5,0.7,9.99,0.0,0.0,,,,,POINT (1490375.4069253118 5147446.88257985),LX-108,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
11,LX-109,0.59,0.0036,140.0,20.5,1.7,9.99,0.0,0.0,,,,,POINT (1490392.3531437148 5147408.227382225),LX-109,,,0.0,0.0,1.0,1.0,0.0,,3.0,1.0,Scores<6,1,orange
12,LX-11,0.41,0.001,200.0,20.5,1.9,9.99,0.0,0.0,,,,,POINT (1490617.89600368 5147448.7707063565),LX-11,,,0.0,0.0,1.0,1.0,0.0,,3.0,1.0,Scores<6,1,orange
13,LX-110,0.7,0.005,90.0,20.4,0.7,9.99,0.0,0.0,,,,,POINT (1490334.161741424 5147453.478714032),LX-110,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
14,LX-111,0.1,0.0049,20.0,20.4,0.0,3.9,0.0,0.0,,,,,POINT (1490347.8925047931 5147424.116680743),LX-111,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Scores<6,0,green
15,LX-112,0.26,0.0031,50.0,20.5,0.8,9.99,0.0,0.0,,1627291.4643380947,30602417445.009254,12921.236386170742,POINT (1490330.5492582084 5147367.578402541),LX-112,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
16,LX-113,1.07,0.0018,20.0,20.1,0.0,3.33,1.0,0.0,,,,,POINT (1490307.8385468093 5147574.083918059),LX-113,,,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,Scores<6,1,orange
17,LX-114,2.12,0.0042,90.0,20.1,1.0,9.99,1.0,0.0,,,,,POINT (1490512.6728951517 5147593.585144171),LX-114,,,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,Scores<6,1,orange
18,LX-115,0.3,0.0018,40.0,20.4,0.0,8.77,0.0,0.0,,,,,POINT (1490494.8747943505 5147589.850812856),LX-115,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
19,LX-116,0.31,0.0016,60.0,20.2,0.0,7.35,0.0,0.0,,,,,POINT (1490527.6467055622 5147575.106449043),LX-116,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
20,LX-117,0.75,0.0108,110.0,19.6,1.2,9.99,0.0,0.0,,,,,POINT (1490532.7058531796 5147559.7166562285),LX-117,,,0.0,2.0,1.0,1.0,0.0,,5.0,1.0,Scores<6,1,orange
21,LX-118,2.21,0.0272,170.0,18.0,1.4,9.99,0.0,0.0,12100.0,1138239.934958035,4802634240.290024,25809.109268365664,POINT (1490511.4370970977 5147556.274041794),LX-118,,6.0,0.0,2.0,1.0,1.0,0.0,0.0,6.0,2.0,Suspected_source_of_contamination,1,orange
22,LX-119,217.46,0.0089,220.0,20.2,0.4,9.99,0.0,0.0,6740.0,511319.11216438847,1190087615.6803777,14402.649707249744,POINT (1490465.6957313558 5147587.687347435),LX-119,,23.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,22.0,Suspected_source_of_contamination,1,orange
23,LX-12,0.79,0.0091,50.0,18.8,0.0,7.72,0.0,0.0,,,,,POINT (1490649.206601509 5147466.608755872),LX-12,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
24,LX-120,82.7,0.0044,30.0,20.2,0.0,4.54,0.0,0.0,10600.0,394076.0676187926,175201825.33866936,1397.0684208264377,POINT (1490418.8659067831 5147570.29658501),LX-120,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,Suspected_source_of_contamination,1,orange
